PWSID,Name,POPULATION,SERVICE_CO,Long,Lat
CA1910234,WALNUT VALLEY WATER DISTRICT,105495,27100,-117.8345024,34.00810734
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,151300,26115,-118.169189,34.03267429
CA1900599,VALHALLA WATER ASSOCIATION,25,9,-118.2306589,34.28867939
CA1910194,ROWLAND WATER DISTRICT,55038,13202,-117.9081079,33.97966568
CA1900901,FIRE SUPPRESSION CAMP #19,250,1,-117.8229494,34.23783176
CA1910158,STERLING MUTUAL WATER COMPANY,548,196,-118.0126854,34.07953864
CA1900636,EL RANCHO MOBILE HOME PARK,215,76,-118.0931722,34.68509589
CA1900303,LLANO MUTUAL WATER COMPANY,264,78,-117.818238,34.49953459
CA1900808,LANCASTER WATER COMPANY,80,24,-118.164679,34.69493413
CA1910013,BELLFLOWER - SOMERSET MWC,46300,7058,-118.1245215,33.8820819
CA1900038,LANCASTER PARK MOBILE HOME PARK,61,21,-118.1318218,34.74626645
CA1910030,GSWC - CULVER CITY,36271,9268,-118.3944465,34.00596349
CA1910019,"CERRITOS - CITY, WATER DEPT.",49041,15743,-118.0684431,33.86814979
CA1910238,LOCKHEED MARTIN SKUNK WORKS,365,18,-118.1140101,34.61506669
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,5967,1826,-118.1237534,33.89290095
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",41,14,-118.4490983,34.59231814
CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B",1100,330,-118.2683576,34.80122849
CA1910044,"GLENDORA-CITY, WATER DEPT.",44444,13468,-117.8502303,34.13462425
CA1910102,PALMDALE WATER DIST.,115525,26784,-118.0751856,34.55493883
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,55223,13621,-118.0086814,33.90388775
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",84448,15843,-118.3449498,33.95975741
CA1910021,LIBERTY UTILITIES - COMPTON,23802,6978,-118.2517145,33.90723188
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",15414,5572,-118.2177314,33.97911794
CA1910065,"LONG BEACH-CITY, WATER DEPT.",475013,88503,-118.162589,33.80352693
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,12474,3780,-118.5305596,34.37080987
CA1900741,YOUNG-NAK PRESBYTERIAN CHURCH,25,29,-118.2233226,34.07232795
CA1910157,SUNNY SLOPE WATER CO.,30700,6262,-118.0756198,34.11305015
CA1910054,LA CANADA IRRIGATION DIST.,9300,2939,-118.2112933,34.21732396
CA1910060,LA PUENTE VALLEY CWD,9842,2449,-117.9449269,34.02094754
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,64489,19842,-118.0086934,33.94661845
CA1910179,"BURBANK-CITY, WATER DEPT.",105952,25762,-118.3233442,34.18798964
CA1910079,"LYNWOOD-CITY, WATER DEPT.",70492,9136,-118.202233,33.92513069
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,3405,1294,-117.9882452,34.53249677
CA1910161,LIBERTY UTILITIES - LYNWOOD,34171,4480,-118.1941609,33.90012939
CA1900074,THE PAINTED TURTLE CAMP,57,5,-118.4327922,34.6706982
CA1910023,AVERYDALE MWC,964,292,-118.0731248,34.71107051
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,96314,26669,-118.3823747,33.85217156
CA1910166,VALLEY WATER CO.,10070,3599,-118.1948891,34.19617199
CA1900907,SHERWOOD MOBILE HOME PARK,540,185,-118.0616388,34.70665905
CA1910125,PICO WD,25284,5490,-118.0862645,33.99442183
CA1910047,HAWTHORNE-CITY WATER DEPT.,44649,6219,-118.3470136,33.91728148
CA1910163,VALENCIA HEIGHTS WATER CO.,7775,1677,-117.8682309,34.05997025
CA1910084,MAYWOOD MUTUAL WATER CO. #1,5500,1163,-118.1932463,33.98514154
CA1910009,VALLEY COUNTY WATER DIST.,56556,12462,-117.958829,34.098661
CA1910103,PALM RANCH IRRIGATION DIST.,5564,1692,-118.2186567,34.64445937
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,1129,342,-118.1468887,33.87183163
CA1900868,RIVERS END TRAILER PARK,35,45,-118.3637625,34.43368587
CA1900961,WINTERHAVEN MOBILE ESTATES,56,20,-118.4572272,34.77390906
CA1910186,CAL-AM WATER COMPANY - DUARTE,24020,7279,-117.9634396,34.1346569
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,100,1,-117.7706831,34.39025639
CA1910167,"VERNON-CITY, WATER DEPT.",30000,1104,-118.2136675,34.00309984
CA1910053,HEMLOCK MUTUAL WATER CO.,686,208,-118.0053667,34.0951632
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",55497,7347,-118.166157,33.89610279
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,72964,16599,-118.0959278,33.90145907
CA1910213,"TORRANCE-CITY, WATER DEPT.",108217,26226,-118.3349649,33.83503619
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",4070679,709135,-118.4074686,34.11521138
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,70271,24059,-118.3661755,33.76551362
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,4096,1942,-118.4344829,33.38259656
CA1900529,CAMP WILLIAMS-RESORT WATER,80,67,-117.7912292,34.23225624
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",20,19,-118.4543697,34.58541647
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,100,49,-118.3385505,34.49924004
CA1909644,AZUSA SPRINGS WATER SYSTEM,25,4,-117.8929468,34.1620199
CA1900556,VASQUEZ ROCKS COUNTY PARK,30,2,-118.3206126,34.48825594
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,6543,1558,-117.8769009,34.12153521
CA1910028,CRESCENTA VALLEY CWD,33203,8004,-118.2386509,34.22743197
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,5181,1356,-118.6648089,34.46643637
CA1910077,GSWC - FLORENCE/GRAHAM,66203,9682,-118.2440096,33.96934372
CA1910011,"GSWC - BELL, BELL GARDENS",58039,7332,-118.1713219,33.96851054
CA1910212,GSWC-SOUTH ARCADIA,27030,7485,-118.0295006,34.10359143
CA1910155,GSWC - SOUTHWEST,274647,51764,-118.315242,33.9058632
CA1910020,EAST PASADENA WATER CO.,9860,2988,-118.0650147,34.12411052
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,29197,731,-117.8213049,34.05669187
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",35135,13446,-118.3971099,33.88940559
CA1900505,ANTELOPE VALLEY PROGRESSIVE CLUB,23,12,-117.8046974,34.59469288
CA1910247,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,6300,1909,-118.6434861,34.52124472
CA1910004,GSWC - ARTESIA,48255,10728,-118.0778491,33.84653573
CA1910195,GSWC - HOLLYDALE,7706,1667,-118.1651586,33.91702121
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,30361,7263,-118.450377,33.97723851
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",10725,2831,-117.9105019,34.51384034
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",798,219,-117.7626915,34.70201818
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,546,246,-118.3763046,34.28977433
CA1900975,CALI LAKE RV RESORT,30,47,-118.3205962,34.43726273
